# aaa,# BBBB
7.32E-03,4.02E-08
7.58E-03,4.10E-08
2.22E-02,1.26E-07
2.23E-02,1.27E-07
2.24E-02,1.29E-07
2.65E-02,1.75E-07
3.45E-02,3.15E-07
4.99E-02,9.53E-07
5.03E-02,9.75E-07
5.14E-02,1.06E-06
5.31E-02,1.19E-06
5.32E-02,1.19E-06
5.79E-02,1.66E-06
6.92E-02,3.54E-06
7.77E-02,6.14E-06
7.81E-02,6.31E-06
7.94E-02,6.86E-06
7.94E-02,6.87E-06
7.99E-02,7.10E-06
8.06E-02,7.40E-06
8.41E-02,9.25E-06
8.85E-02,1.23E-05
8.97E-02,1.31E-05
9.27E-02,1.59E-05
9.40E-02,1.72E-05
9.84E-02,2.24E-05
1.03E-01,2.91E-05
1.05E-01,3.24E-05
1.06E-01,3.46E-05
1.12E-01,5.12E-05
1.19E-01,7.45E-05
1.22E-01,8.83E-05
1.23E-01,9.13E-05
1.25E-01,1.06E-04
1.30E-01,1.34E-04
1.30E-01,1.40E-04
1.34E-01,1.66E-04
1.36E-01,1.91E-04
1.37E-01,1.96E-04
1.41E-01,2.46E-04
1.41E-01,2.47E-04
1.42E-01,2.53E-04
1.54E-01,4.81E-04
1.56E-01,5.09E-04
1.63E-01,7.34E-04
1.64E-01,7.59E-04
1.70E-01,1.02E-03
1.75E-01,1.27E-03
1.81E-01,1.64E-03
1.89E-01,2.34E-03
1.90E-01,2.46E-03
1.97E-01,3.19E-03
1.99E-01,3.55E-03
2.00E-01,3.65E-03
2.01E-01,3.82E-03
2.01E-01,3.83E-03
2.02E-01,3.92E-03
2.02E-01,4.01E-03
2.02E-01,4.03E-03
2.03E-01,4.11E-03
2.05E-01,4.54E-03
2.14E-01,6.30E-03
2.18E-01,7.67E-03
2.20E-01,9.02E-03
2.24E-01,1.37E-02
2.34E-01,6.70E-02
2.35E-01,8.62E-02
2.35E-01,8.80E-02
2.36E-01,9.98E-02
2.38E-01,1.41E-01
2.50E-01,3.21E-01
2.56E-01,2.68E-01
2.62E-01,1.53E-01
2.69E-01,6.28E-02
2.74E-01,4.89E-02
2.75E-01,4.73E-02
2.82E-01,5.01E-02
2.82E-01,5.02E-02
2.84E-01,5.21E-02
2.88E-01,5.73E-02
2.92E-01,6.23E-02
2.93E-01,6.35E-02
2.94E-01,6.57E-02
2.96E-01,6.80E-02
2.98E-01,7.06E-02
2.98E-01,7.09E-02
3.01E-01,7.46E-02
3.13E-01,9.31E-02
3.15E-01,9.79E-02
3.18E-01,1.01E-01
3.19E-01,1.04E-01
3.19E-01,1.05E-01
3.32E-01,1.25E-01
3.36E-01,1.32E-01
3.39E-01,1.38E-01
3.39E-01,1.38E-01
3.50E-01,1.56E-01
3.51E-01,1.58E-01
3.53E-01,1.60E-01
3.75E-01,1.87E-01
3.76E-01,1.89E-01
3.81E-01,1.93E-01
3.82E-01,1.94E-01
3.84E-01,1.95E-01
3.89E-01,1.97E-01
3.90E-01,1.98E-01
3.92E-01,1.99E-01
3.95E-01,2.00E-01
3.97E-01,2.00E-01
3.99E-01,2.00E-01
3.99E-01,2.00E-01
4.00E-01,2.00E-01
4.04E-01,2.00E-01
4.10E-01,1.98E-01
4.18E-01,1.93E-01
4.25E-01,1.88E-01
4.27E-01,1.86E-01
4.34E-01,1.78E-01
4.34E-01,1.78E-01
4.35E-01,1.77E-01
4.36E-01,1.76E-01
4.39E-01,1.72E-01
4.49E-01,1.58E-01
4.49E-01,1.57E-01
4.50E-01,1.55E-01
4.57E-01,1.45E-01
4.62E-01,1.36E-01
4.63E-01,1.34E-01
4.64E-01,1.34E-01
4.64E-01,1.32E-01
4.65E-01,1.31E-01
4.68E-01,1.26E-01
4.68E-01,1.26E-01
4.69E-01,1.26E-01
4.74E-01,1.23E-01
4.76E-01,1.24E-01
4.79E-01,1.35E-01
4.80E-01,1.46E-01
4.84E-01,1.90E-01
4.91E-01,3.92E-01
4.91E-01,4.01E-01
4.98E-01,5.65E-01
4.98E-01,5.66E-01
4.98E-01,5.68E-01
5.00E-01,5.74E-01
5.01E-01,5.69E-01
5.01E-01,5.66E-01
5.06E-01,4.68E-01
5.06E-01,4.51E-01
5.09E-01,3.75E-01
5.13E-01,2.33E-01
5.16E-01,1.49E-01
5.21E-01,7.75E-02
5.26E-01,4.69E-02
5.28E-01,4.29E-02
5.28E-01,4.27E-02
5.29E-01,4.00E-02
5.30E-01,3.81E-02
5.34E-01,3.37E-02
5.36E-01,3.19E-02
5.38E-01,2.96E-02
5.40E-01,2.79E-02
5.41E-01,2.77E-02
5.42E-01,2.68E-02
5.45E-01,2.47E-02
5.48E-01,2.26E-02
5.49E-01,2.18E-02
5.49E-01,2.16E-02
5.49E-01,2.16E-02
5.49E-01,2.14E-02
5.53E-01,1.91E-02
5.55E-01,1.80E-02
5.56E-01,1.75E-02
5.57E-01,1.68E-02
5.61E-01,1.48E-02
5.66E-01,1.27E-02
5.69E-01,1.13E-02
5.73E-01,1.01E-02
5.74E-01,9.58E-03
5.75E-01,9.37E-03
5.85E-01,6.62E-03
5.85E-01,6.55E-03
5.85E-01,6.54E-03
5.93E-01,4.92E-03
5.96E-01,4.24E-03
5.97E-01,4.07E-03
5.98E-01,3.95E-03
6.01E-01,3.51E-03
6.02E-01,3.40E-03
6.03E-01,3.19E-03
6.06E-01,2.92E-03
6.12E-01,2.25E-03
6.14E-01,2.08E-03
6.14E-01,2.06E-03
6.17E-01,1.78E-03
6.21E-01,1.51E-03
6.27E-01,1.14E-03
6.28E-01,1.13E-03
6.29E-01,1.07E-03
6.30E-01,1.02E-03
6.31E-01,9.79E-04
6.33E-01,8.60E-04
6.43E-01,5.44E-04
6.50E-01,3.94E-04
6.59E-01,2.42E-04
6.65E-01,1.83E-04
6.66E-01,1.68E-04
6.72E-01,1.24E-04
6.74E-01,1.08E-04
6.81E-01,7.35E-05
6.85E-01,5.87E-05
6.90E-01,4.45E-05
6.94E-01,3.61E-05
6.95E-01,3.33E-05
6.95E-01,3.28E-05
7.00E-01,2.52E-05
7.01E-01,2.37E-05
7.05E-01,1.81E-05
7.09E-01,1.46E-05
7.15E-01,1.00E-05
7.16E-01,9.17E-06
7.20E-01,7.35E-06
7.20E-01,7.03E-06
7.24E-01,5.59E-06
7.24E-01,5.37E-06
7.27E-01,4.57E-06
7.33E-01,3.07E-06
7.34E-01,2.91E-06
7.39E-01,2.01E-06
7.42E-01,1.71E-06
7.49E-01,1.03E-06
7.50E-01,9.67E-07
7.57E-01,5.84E-07
7.65E-01,3.29E-07
7.70E-01,2.23E-07
7.74E-01,1.63E-07
7.75E-01,1.52E-07
7.80E-01,1.09E-07
7.84E-01,8.04E-08
7.85E-01,7.43E-08
7.85E-01,7.25E-08
7.87E-01,6.16E-08
7.89E-01,5.45E-08
7.91E-01,4.61E-08
7.96E-01,3.21E-08
7.98E-01,2.65E-08
8.01E-01,2.14E-08
8.02E-01,1.96E-08
8.03E-01,1.71E-08
8.08E-01,1.19E-08
8.19E-01,4.85E-09
8.21E-01,4.16E-09
8.23E-01,3.31E-09
8.37E-01,1.01E-09
8.37E-01,1.01E-09
8.37E-01,9.93E-10
8.39E-01,8.26E-10
8.44E-01,5.32E-10
8.59E-01,1.36E-10
8.60E-01,1.32E-10
8.62E-01,1.12E-10
8.64E-01,9.25E-11
8.69E-01,5.61E-11
8.73E-01,3.87E-11
8.73E-01,3.77E-11
8.80E-01,1.95E-11
8.86E-01,1.08E-11
8.90E-01,7.66E-12
8.97E-01,3.93E-12
9.05E-01,1.74E-12
9.13E-01,7.57E-13
9.16E-01,5.23E-13
9.20E-01,3.46E-13
9.23E-01,2.66E-13
9.24E-01,2.39E-13
9.24E-01,2.31E-13
9.34E-01,8.58E-14
9.34E-01,8.02E-14
9.44E-01,2.70E-14
9.56E-01,7.36E-15
9.60E-01,4.71E-15
9.63E-01,3.50E-15
9.63E-01,3.41E-15
9.64E-01,3.22E-15
9.65E-01,2.68E-15
9.66E-01,2.45E-15
9.66E-01,2.34E-15
9.69E-01,1.71E-15
9.69E-01,1.66E-15
9.71E-01,1.45E-15
9.72E-01,1.20E-15
9.75E-01,8.93E-16
9.80E-01,4.95E-16
9.90E-01,1.50E-16
9.92E-01,1.25E-16
9.95E-01,8.22E-17
9.95E-01,8.02E-17
9.98E-01,5.94E-17
9.99E-01,5.48E-17
1.00E+00,4.81E-17
